,driver1,driver2
154,Daniel Ricciardo,Kimi Räikkönen
155,Esteban Ocon,Jacques Villeneuve
156,Lance Stroll,Heikki Kovalainen
157,Yuki Tsunoda,Daniil Kvyat
158,Max Verstappen,Giancarlo Fisichella
159,George Russell,Antonio Giovinazzi
160,Sergio Pérez,Sergey Sirotkin
161,Lance Stroll,Jean Alesi
162,Kevin Magnussen,Sebastian Vettel
163,George Russell,Jacques Villeneuve
164,Lando Norris,Pedro de la Rosa
165,Guanyu Zhou,Jacques Villeneuve
166,Sebastian Vettel,Nico Rosberg
167,Fernando Alonso,Kamui Kobayashi
168,Sebastian Vettel,Timo Glock
169,Kevin Magnussen,Jean Alesi
170,Lance Stroll,Martin Brundle
171,Pierre Gasly,Nico Hülkenberg
172,Valtteri Bottas,Olivier Panis
173,Charles Leclerc,Lance Stroll
174,Esteban Ocon,Scott Speed
175,Alexander Albon,Lance Stroll
176,George Russell,Vitaly Petrov
177,Lance Stroll,Jean-Éric Vergne
178,Nicholas Latifi,Robert Kubica
179,Lance Stroll,Jérôme d'Ambrosio
180,Max Verstappen,Daniil Kvyat
181,Max Verstappen,Esteban Gutiérrez
182,Nicholas Latifi,Sergio Pérez
183,Alexander Albon,Lewis Hamilton
184,Fernando Alonso,Michael Schumacher
185,Max Verstappen,Sebastian Vettel
186,Sebastian Vettel,Pascal Wehrlein
187,Pierre Gasly,Jenson Button
188,Valtteri Bottas,Kimi Räikkönen
189,Lewis Hamilton,Olivier Panis
190,Lance Stroll,Sébastien Bourdais
191,Kevin Magnussen,Stoffel Vandoorne
192,Sebastian Vettel,Jolyon Palmer
193,Sergio Pérez,Mark Webber
194,Lewis Hamilton,Kimi Räikkönen
195,Pierre Gasly,Paul di Resta
196,Charles Leclerc,Yuki Tsunoda
197,Lance Stroll,Romain Grosjean
198,Sergio Pérez,Jan Magnussen
199,Pierre Gasly,Vitantonio Liuzzi
200,Carlos Sainz,Esteban Gutiérrez
201,Fernando Alonso,Nico Rosberg
202,Valtteri Bottas,Nicholas Latifi
203,Sergio Pérez,Robert Kubica
204,Fernando Alonso,Timo Glock
205,Sebastian Vettel,Christian Klien
206,Max Verstappen,Stoffel Vandoorne
207,Carlos Sainz,Daniil Kvyat
208,Sergio Pérez,Sergio Pérez
209,Lewis Hamilton,Pietro Fittipaldi
210,Carlos Sainz,Sebastian Vettel
211,Lewis Hamilton,Nicholas Latifi
212,Kevin Magnussen,Lance Stroll
213,Daniel Ricciardo,Adrian Sutil
214,Fernando Alonso,Pascal Wehrlein
215,Lance Stroll,Guanyu Zhou
216,Sebastian Vettel,Heikki Kovalainen
217,Lewis Hamilton,Felipe Massa
218,Sergio Pérez,Daniil Kvyat
219,George Russell,Jack Aitken
220,Charles Leclerc,Sébastien Buemi
221,Carlos Sainz,Jean-Éric Vergne
222,Lance Stroll,Max Verstappen
223,Lance Stroll,Jos Verstappen
224,Fernando Alonso,Jolyon Palmer
225,Daniel Ricciardo,Kamui Kobayashi
226,Daniel Ricciardo,Jenson Button
227,Esteban Ocon,Mark Webber
228,Kevin Magnussen,Jos Verstappen
229,Esteban Ocon,Giancarlo Fisichella
230,Daniel Ricciardo,Brendon Hartley
231,Esteban Ocon,Heinz-Harald Frentzen
232,Lando Norris,Pascal Wehrlein
233,Daniel Ricciardo,Michael Schumacher
234,Kevin Magnussen,Takuma Sato
235,Sebastian Vettel,Jérôme d'Ambrosio
236,Daniel Ricciardo,Paul di Resta
237,George Russell,Giancarlo Fisichella
238,Valtteri Bottas,Adrian Sutil
239,Guanyu Zhou,Giancarlo Fisichella
240,George Russell,Heinz-Harald Frentzen
241,Sebastian Vettel,Robert Kubica
242,Esteban Ocon,Esteban Gutiérrez
243,Charles Leclerc,Rubens Barrichello
244,Kevin Magnussen,Bruno Senna
245,Max Verstappen,Takuma Sato
246,Lance Stroll,Olivier Panis
247,Esteban Ocon,Daniil Kvyat
248,Lance Stroll,Sébastien Buemi
249,Lewis Hamilton,Adrian Sutil
250,Valtteri Bottas,Jenson Button
251,Valtteri Bottas,Kamui Kobayashi
252,Esteban Ocon,Sebastian Vettel
253,Carlos Sainz,Lance Stroll
254,Sebastian Vettel,Ralf Schumacher
255,Sebastian Vettel,Mika Häkkinen
256,Lewis Hamilton,Nico Hülkenberg
257,Daniel Ricciardo,Timo Glock
258,Sebastian Vettel,Romain Grosjean
259,Lando Norris,Daniel Ricciardo
260,Lance Stroll,Kimi Räikkönen
261,Max Verstappen,Marcus Ericsson
262,Sergio Pérez,George Russell
263,George Russell,Daniil Kvyat
264,Carlos Sainz,Pastor Maldonado
265,Valtteri Bottas,Michael Schumacher
266,Lewis Hamilton,Jenson Button
267,Fernando Alonso,Martin Brundle
268,Max Verstappen,Anthony Davidson
269,Lewis Hamilton,Jarno Trulli
270,Valtteri Bottas,Paul di Resta
271,Fernando Alonso,Riccardo Patrese
272,George Russell,Sebastian Vettel
273,Fernando Alonso,Jérôme d'Ambrosio
274,Nicholas Latifi,Felipe Massa
275,Fernando Alonso,Jan Magnussen
276,Yuki Tsunoda,Nico Hülkenberg
277,Esteban Ocon,Stoffel Vandoorne
278,Fernando Alonso,Robert Kubica
279,Nicholas Latifi,Carlos Sainz
280,Daniel Ricciardo,Jolyon Palmer
281,Fernando Alonso,Sergio Pérez
282,Valtteri Bottas,Jacques Villeneuve
283,Max Verstappen,David Coulthard
284,Lewis Hamilton,Antonio Giovinazzi
285,Sergio Pérez,Alexander Rossi
286,Valtteri Bottas,Timo Glock
287,Pierre Gasly,Esteban Ocon
288,Carlos Sainz,Marcus Ericsson
289,Fernando Alonso,Ralf Schumacher
290,Fernando Alonso,Mika Häkkinen
291,Kevin Magnussen,Rubens Barrichello
292,Lando Norris,Jean-Éric Vergne
293,George Russell,Stoffel Vandoorne
294,Carlos Sainz,Eddie Irvine
295,Sergio Pérez,Pietro Fittipaldi
296,Max Verstappen,Nick Heidfeld
297,Fernando Alonso,Romain Grosjean
298,Lewis Hamilton,Jacques Villeneuve
299,Daniel Ricciardo,Sergey Sirotkin
300,Mick Schumacher,Stoffel Vandoorne
301,Charles Leclerc,Kamui Kobayashi
302,Sergio Pérez,Eddie Irvine
303,Esteban Ocon,Nelson Piquet Jr.
304,Sergio Pérez,Felipe Massa
305,Esteban Ocon,Lance Stroll
306,Lando Norris,Sébastien Bourdais
307,Pierre Gasly,Esteban Gutiérrez
308,Charles Leclerc,Brendon Hartley
309,Sergio Pérez,Anthony Davidson
310,Pierre Gasly,Daniil Kvyat
311,Sergio Pérez,Carlos Sainz
312,Sergio Pérez,Juan Pablo Montoya
313,Pierre Gasly,Sebastian Vettel
314,Esteban Ocon,Pastor Maldonado
315,Fernando Alonso,Guanyu Zhou
316,George Russell,Nelson Piquet Jr.
317,Sebastian Vettel,Olivier Panis
318,George Russell,Lance Stroll
319,Kevin Magnussen,Pedro de la Rosa
320,Carlos Sainz,Nick Heidfeld
321,Lance Stroll,Adrian Sutil
322,Valtteri Bottas,Sergey Sirotkin
323,George Russell,Pastor Maldonado
324,Sebastian Vettel,Kimi Räikkönen
325,Sebastian Vettel,Narain Karthikeyan
326,Guanyu Zhou,Pastor Maldonado
327,Fernando Alonso,Charles Leclerc
328,Esteban Ocon,Takuma Sato
329,Daniel Ricciardo,Mark Webber
330,Mick Schumacher,Pastor Maldonado
331,Sergio Pérez,Nick Heidfeld
332,Charles Leclerc,Nico Rosberg
333,Carlos Sainz,Rubens Barrichello
334,Daniel Ricciardo,Jan Magnussen
335,Charles Leclerc,Timo Glock
336,Lance Stroll,Kamui Kobayashi
337,Lance Stroll,Jenson Button
338,Max Verstappen,Pedro de la Rosa
339,Esteban Ocon,Marcus Ericsson
340,Daniel Ricciardo,Robert Kubica
341,George Russell,Takuma Sato
342,Alexander Albon,Nyck de Vries
343,Fernando Alonso,Fernando Alonso
344,Kevin Magnussen,Kamui Kobayashi
345,Lando Norris,Max Verstappen
346,Esteban Ocon,Anthony Davidson
347,Sergio Pérez,Nico Hülkenberg
348,Lance Stroll,Michael Schumacher
349,Sergio Pérez,Alexander Wurz
350,Mick Schumacher,Takuma Sato
351,Nicholas Latifi,Antonio Giovinazzi
352,Charles Leclerc,Pascal Wehrlein
353,Lando Norris,Yuki Tsunoda
354,Sebastian Vettel,Felipe Massa
355,Daniel Ricciardo,Mika Häkkinen
356,Fernando Alonso,Olivier Panis
357,George Russell,Marcus Ericsson
358,Kevin Magnussen,Michael Schumacher
359,Sergio Pérez,Jarno Trulli
360,Valtteri Bottas,Riccardo Patrese
361,George Russell,Anthony Davidson
362,Sebastian Vettel,Lucas di Grassi
363,Charles Leclerc,Jolyon Palmer
364,Valtteri Bottas,Mark Webber
365,Fernando Alonso,Kimi Räikkönen
366,Fernando Alonso,Narain Karthikeyan
367,Pierre Gasly,Lance Stroll
368,Nicholas Latifi,Vitaly Petrov
369,Esteban Ocon,David Coulthard
370,Valtteri Bottas,Jan Magnussen
371,Valtteri Bottas,Esteban Ocon
372,Lewis Hamilton,Riccardo Patrese
373,Esteban Ocon,Nick Heidfeld
374,Valtteri Bottas,Robert Kubica
375,Charles Leclerc,Christian Klien
376,Lance Stroll,Nico Rosberg
377,Lance Stroll,Timo Glock
378,Lewis Hamilton,Mark Webber
379,Valtteri Bottas,Sergio Pérez
380,Sergio Pérez,Vitantonio Liuzzi
381,Fernando Alonso,Pietro Fittipaldi
382,Lewis Hamilton,Giancarlo Fisichella
383,Sergio Pérez,Antonio Giovinazzi
384,Alexander Albon,Daniel Ricciardo
385,Kevin Magnussen,Nico Rosberg
386,Lewis Hamilton,Esteban Ocon
387,Lewis Hamilton,Heinz-Harald Frentzen
388,Kevin Magnussen,Timo Glock
389,Fernando Alonso,Nicholas Latifi
390,Lando Norris,Kimi Räikkönen
391,George Russell,Nick Heidfeld
392,Esteban Ocon,Alexander Wurz
393,Guanyu Zhou,Nick Heidfeld
394,Esteban Ocon,Rubens Barrichello
395,Lewis Hamilton,Sergio Pérez
396,Fernando Alonso,Felipe Massa
397,Sebastian Vettel,Adrian Sutil
398,Sebastian Vettel,Nico Hülkenberg
399,Sergio Pérez,Vitaly Petrov
400,Fernando Alonso,Lucas di Grassi
401,Fernando Alonso,Juan Pablo Montoya
402,Lewis Hamilton,Esteban Gutiérrez
403,Lance Stroll,Jolyon Palmer
404,Alexander Albon,Pierre Gasly
405,George Russell,Rubens Barrichello
406,Pierre Gasly,Marcus Ericsson
407,Lewis Hamilton,Sebastian Vettel
408,Sebastian Vettel,Jenson Button
409,Sebastian Vettel,Jarno Trulli
410,Sebastian Vettel,Alain Prost
411,Mick Schumacher,Rubens Barrichello
412,Charles Leclerc,Jérôme d'Ambrosio
413,Fernando Alonso,Ayrton Senna
414,Esteban Ocon,Pedro de la Rosa
415,Sebastian Vettel,Paul di Resta
416,Kevin Magnussen,Damon Hill
417,Daniel Ricciardo,Narain Karthikeyan
418,Sebastian Vettel,Antonio Giovinazzi
419,Fernando Alonso,Adrian Sutil
420,Fernando Alonso,Nico Hülkenberg
421,Kevin Magnussen,Heikki Kovalainen
422,Charles Leclerc,Romain Grosjean
423,Sebastian Vettel,Jacques Villeneuve
424,Valtteri Bottas,George Russell
425,Carlos Sainz,Pascal Wehrlein
426,Fernando Alonso,Jenson Button
427,Fernando Alonso,Jarno Trulli
428,Fernando Alonso,Alain Prost
429,Lance Stroll,Riccardo Patrese
430,Yuki Tsunoda,Jean-Éric Vergne
431,Kevin Magnussen,Martin Brundle
432,Lando Norris,Adrian Sutil
433,Lewis Hamilton,George Russell
434,Daniel Ricciardo,Felipe Massa
435,Lance Stroll,Jan Magnussen
436,Fernando Alonso,Paul di Resta
437,Lewis Hamilton,Nelson Piquet Jr.
438,Kevin Magnussen,Jérôme d'Ambrosio
439,Sebastian Vettel,Scott Speed
440,Daniel Ricciardo,Carlos Sainz
441,Lance Stroll,Robert Kubica
442,Daniel Ricciardo,Juan Pablo Montoya
443,Fernando Alonso,Vitantonio Liuzzi
444,Kevin Magnussen,Jan Magnussen
445,Charles Leclerc,Max Verstappen
446,Fernando Alonso,Antonio Giovinazzi
447,Nicholas Latifi,Daniil Kvyat
448,Alexander Albon,Max Verstappen
449,Lewis Hamilton,Pastor Maldonado
450,Lance Stroll,Ralf Schumacher
451,Max Verstappen,Jean-Éric Vergne
452,Sergio Pérez,Giancarlo Fisichella
453,Lando Norris,Brendon Hartley
454,Alexander Albon,Yuki Tsunoda
455,Fernando Alonso,Jacques Villeneuve
456,Sergio Pérez,Heinz-Harald Frentzen
457,Kevin Magnussen,Ralf Schumacher
458,Sebastian Vettel,Sergey Sirotkin
459,Kevin Magnussen,Romain Grosjean
460,Valtteri Bottas,Eddie Irvine
461,Valtteri Bottas,Felipe Massa
462,Max Verstappen,Sébastien Bourdais
463,Valtteri Bottas,Anthony Davidson
464,George Russell,Nico Rosberg
465,Sergio Pérez,Esteban Gutiérrez
466,Valtteri Bottas,Juan Pablo Montoya
467,Lewis Hamilton,Eddie Irvine
468,Daniel Ricciardo,Nico Hülkenberg
469,Daniel Ricciardo,Alexander Wurz
470,Carlos Sainz,Martin Brundle
471,George Russell,Nyck de Vries
472,Sergio Pérez,Sebastian Vettel
473,Lewis Hamilton,Anthony Davidson
474,Lewis Hamilton,Juan Pablo Montoya
475,Daniel Ricciardo,Jarno Trulli
476,Charles Leclerc,Kimi Räikkönen
477,Charles Leclerc,Narain Karthikeyan
478,Valtteri Bottas,David Coulthard
479,Alexander Albon,Narain Karthikeyan
480,Kevin Magnussen,Max Verstappen
481,Valtteri Bottas,Nick Heidfeld
482,Sergio Pérez,Jean-Éric Vergne
483,Carlos Sainz,Sébastien Bourdais
484,Fernando Alonso,Sergey Sirotkin
485,Sebastian Vettel,Mark Webber
486,Sebastian Vettel,Giancarlo Fisichella
487,Lewis Hamilton,David Coulthard
488,Esteban Ocon,Daniel Ricciardo
489,Esteban Ocon,Damon Hill
490,Daniel Ricciardo,Vitantonio Liuzzi
491,Mick Schumacher,Jolyon Palmer
492,Max Verstappen,Max Verstappen
493,Sergio Pérez,Stoffel Vandoorne
494,Lando Norris,Jolyon Palmer
495,Valtteri Bottas,Nico Hülkenberg
496,Lewis Hamilton,Nick Heidfeld
497,Daniel Ricciardo,Antonio Giovinazzi
498,Valtteri Bottas,Alexander Wurz
499,Carlos Sainz,Romain Grosjean
500,Nicholas Latifi,Pastor Maldonado
501,Charles Leclerc,Felipe Massa
502,Esteban Ocon,Heikki Kovalainen
503,Daniel Ricciardo,Jacques Villeneuve
504,Valtteri Bottas,Jarno Trulli
505,Lewis Hamilton,Alexander Wurz
506,Kevin Magnussen,Olivier Panis
507,Valtteri Bottas,Karun Chandhok
508,Esteban Ocon,Jean Alesi
509,Sebastian Vettel,Esteban Gutiérrez
510,Daniel Ricciardo,Vitaly Petrov
511,George Russell,Heikki Kovalainen
512,Lance Stroll,Narain Karthikeyan
513,Sebastian Vettel,Daniil Kvyat
514,Guanyu Zhou,Heikki Kovalainen
515,Sergio Pérez,Nelson Piquet Jr.
516,Kevin Magnussen,Kimi Räikkönen
517,Sergio Pérez,Lance Stroll
518,Mick Schumacher,Heikki Kovalainen
519,Lewis Hamilton,Karun Chandhok
520,Esteban Ocon,Jean-Éric Vergne
521,George Russell,Jean Alesi
522,Fernando Alonso,Mark Webber
523,Esteban Ocon,Jérôme d'Ambrosio
524,Carlos Sainz,Max Verstappen
525,Carlos Sainz,Jos Verstappen
526,Daniel Ricciardo,Scott Speed
527,Fernando Alonso,Giancarlo Fisichella
528,Valtteri Bottas,Antonio Giovinazzi
529,Fernando Alonso,Esteban Ocon
530,Sergio Pérez,Pastor Maldonado
531,Fernando Alonso,Heinz-Harald Frentzen
532,Carlos Sainz,Yuki Tsunoda
533,Esteban Ocon,Sébastien Bourdais
534,Sergio Pérez,Jos Verstappen
535,Lance Stroll,Felipe Massa
536,Lewis Hamilton,Pedro de la Rosa
537,Charles Leclerc,Adrian Sutil
538,Charles Leclerc,Nico Hülkenberg
539,Valtteri Bottas,Vitaly Petrov
540,Kevin Magnussen,Felipe Massa
541,Sergio Pérez,Takuma Sato
542,Fernando Alonso,Esteban Gutiérrez
543,Lance Stroll,Juan Pablo Montoya
544,Esteban Ocon,Romain Grosjean
545,Fernando Alonso,Daniil Kvyat
546,Pierre Gasly,Daniel Ricciardo
547,Fernando Alonso,Sebastian Vettel
548,Charles Leclerc,Jarno Trulli
549,Alexander Albon,Kamui Kobayashi
550,Alexander Albon,Jenson Button
551,Lewis Hamilton,Vitaly Petrov
552,Sergio Pérez,Marcus Ericsson
553,Lando Norris,Sergio Pérez
554,Nicholas Latifi,Nick Heidfeld
555,Max Verstappen,Rubens Barrichello
556,George Russell,Romain Grosjean
557,Valtteri Bottas,Nelson Piquet
558,Alexander Albon,Brendon Hartley
559,Mick Schumacher,Ralf Schumacher
560,Carlos Sainz,Kimi Räikkönen
561,Carlos Sainz,Narain Karthikeyan
562,Sebastian Vettel,Nelson Piquet Jr.
563,Valtteri Bottas,Valtteri Bottas
564,Charles Leclerc,Paul di Resta
565,Mick Schumacher,Romain Grosjean
566,Pierre Gasly,Pierre Gasly
567,Lewis Hamilton,Nelson Piquet
568,Charles Leclerc,Antonio Giovinazzi
569,Esteban Ocon,Max Verstappen
570,Sebastian Vettel,Pastor Maldonado
571,Fernando Alonso,Stoffel Vandoorne
572,George Russell,Guanyu Zhou
573,Lance Stroll,Nico Hülkenberg
574,Pierre Gasly,Jean-Éric Vergne
575,Charles Leclerc,Jacques Villeneuve
576,Kevin Magnussen,Adrian Sutil
577,Daniel Ricciardo,Giancarlo Fisichella
578,Kevin Magnussen,Nico Hülkenberg
579,George Russell,Max Verstappen
580,Daniel Ricciardo,Heinz-Harald Frentzen
581,Lance Stroll,Jarno Trulli
582,Valtteri Bottas,Jack Aitken
583,Yuki Tsunoda,Brendon Hartley
584,Kevin Magnussen,Jenson Button
585,Fernando Alonso,George Russell
586,Kevin Magnussen,Jarno Trulli
587,Sergio Pérez,Rubens Barrichello
588,Sebastian Vettel,Eddie Irvine
589,Lewis Hamilton,Jack Aitken
590,Fernando Alonso,Lance Stroll
591,Charles Leclerc,Scott Speed
592,Lance Stroll,Paul di Resta
593,Sebastian Vettel,Marcus Ericsson
594,Esteban Ocon,Olivier Panis
