,driver1,driver2
671,Esteban Ocon,Jenson Button
672,Valtteri Bottas,Nelson Piquet Jr.
673,Sebastian Vettel,Vitaly Petrov
674,Valtteri Bottas,Lance Stroll
675,Fernando Alonso,Karun Chandhok
676,Pierre Gasly,Rubens Barrichello
677,Daniel Ricciardo,Eddie Irvine
678,Valtteri Bottas,Lewis Hamilton
679,Esteban Ocon,Brendon Hartley
680,Daniel Ricciardo,Marcus Ericsson
681,Lance Stroll,Mark Webber
682,Carlos Sainz,Jolyon Palmer
683,Lance Stroll,Giancarlo Fisichella
684,Nicholas Latifi,Daniel Ricciardo
685,Esteban Ocon,Michael Schumacher
686,Lando Norris,Nico Hülkenberg
687,Sergio Pérez,Pascal Wehrlein
688,George Russell,Kamui Kobayashi
689,George Russell,Jenson Button
690,Daniel Ricciardo,Anthony Davidson
691,Kevin Magnussen,Mark Webber
692,Lance Stroll,Heinz-Harald Frentzen
693,Lewis Hamilton,Lance Stroll
694,Kevin Magnussen,Giancarlo Fisichella
695,Lewis Hamilton,Mick Schumacher
696,Lewis Hamilton,Lewis Hamilton
697,Valtteri Bottas,Jos Verstappen
698,Nicholas Latifi,Heikki Kovalainen
699,Kevin Magnussen,Esteban Ocon
700,Mick Schumacher,Jenson Button
701,Fernando Alonso,Pedro de la Rosa
702,Sergio Pérez,Jolyon Palmer
703,George Russell,Michael Schumacher
704,Carlos Sainz,Sergey Sirotkin
705,Guanyu Zhou,Michael Schumacher
706,Kevin Magnussen,Sergio Pérez
707,Valtteri Bottas,Takuma Sato
708,Lance Stroll,Esteban Gutiérrez
709,Alexander Albon,Charles Leclerc
710,Lewis Hamilton,Jos Verstappen
711,Lewis Hamilton,Max Verstappen
712,Lance Stroll,Daniil Kvyat
713,Daniel Ricciardo,David Coulthard
714,Lando Norris,Paul di Resta
715,Esteban Ocon,Nico Rosberg
716,Kevin Magnussen,Esteban Gutiérrez
717,Esteban Ocon,Timo Glock
718,Lance Stroll,Sebastian Vettel
719,Fernando Alonso,Vitaly Petrov
720,Daniel Ricciardo,Nick Heidfeld
721,Sergio Pérez,Daniel Ricciardo
722,Lewis Hamilton,Takuma Sato
723,Lando Norris,Vitantonio Liuzzi
724,Sergio Pérez,Damon Hill
725,Valtteri Bottas,Bruno Senna
726,Nicholas Latifi,Jean-Éric Vergne
727,Alexander Albon,George Russell
728,Max Verstappen,Ralf Schumacher
729,George Russell,Timo Glock
730,Sergio Pérez,Heikki Kovalainen
731,Mick Schumacher,Jacques Villeneuve
732,Guanyu Zhou,Nico Rosberg
733,Daniel Ricciardo,Rubens Barrichello
734,Lewis Hamilton,Bruno Senna
735,Fernando Alonso,Nelson Piquet
736,Yuki Tsunoda,Max Verstappen
737,Carlos Sainz,Mark Webber
738,Sergio Pérez,Jean Alesi
739,Pierre Gasly,Kamui Kobayashi
740,Esteban Ocon,Jolyon Palmer
741,Fernando Alonso,Valtteri Bottas
742,Lance Stroll,Stoffel Vandoorne
743,Carlos Sainz,Jan Magnussen
744,Sergio Pérez,Martin Brundle
745,Pierre Gasly,Brendon Hartley
746,Lando Norris,Scott Speed
747,Esteban Ocon,Sergey Sirotkin
748,Sebastian Vettel,Heinz-Harald Frentzen
749,Daniel Ricciardo,Pedro de la Rosa
750,Valtteri Bottas,Rubens Barrichello
751,Sergio Pérez,Sébastien Bourdais
752,Lance Stroll,Nelson Piquet Jr.
753,Nicholas Latifi,Guanyu Zhou
754,Lance Stroll,Lance Stroll
755,Kevin Magnussen,George Russell
756,Sebastian Vettel,Damon Hill
757,Charles Leclerc,Anthony Davidson
758,Sergio Pérez,Ralf Schumacher
759,Kevin Magnussen,Nelson Piquet Jr.
760,Nicholas Latifi,Max Verstappen
761,Alexander Albon,Carlos Sainz
762,Charles Leclerc,Juan Pablo Montoya
763,Sergio Pérez,Romain Grosjean
764,Lewis Hamilton,Rubens Barrichello
765,Charles Leclerc,Lando Norris
766,Lance Stroll,Pastor Maldonado
767,Alexander Albon,Lando Norris
768,Sebastian Vettel,Sebastian Vettel
769,Kevin Magnussen,Pastor Maldonado
770,Sebastian Vettel,Jean Alesi
771,Sergio Pérez,Mick Schumacher
772,Charles Leclerc,David Coulthard
773,Lance Stroll,Takuma Sato
774,Valtteri Bottas,Pedro de la Rosa
775,Charles Leclerc,Nick Heidfeld
776,Fernando Alonso,Christian Klien
777,Sebastian Vettel,Jean-Éric Vergne
778,Pierre Gasly,Jolyon Palmer
779,Max Verstappen,Kimi Räikkönen
780,Max Verstappen,Narain Karthikeyan
781,Esteban Ocon,Sergio Pérez
782,George Russell,Mark Webber
783,Fernando Alonso,Daniel Ricciardo
784,Lance Stroll,Marcus Ericsson
785,Sergio Pérez,Max Verstappen
786,Lance Stroll,Eddie Irvine
787,Fernando Alonso,Damon Hill
788,Lance Stroll,Anthony Davidson
789,Sebastian Vettel,Stoffel Vandoorne
790,Kevin Magnussen,Eddie Irvine
791,Esteban Ocon,Ralf Schumacher
792,Sergio Pérez,Yuki Tsunoda
793,Charles Leclerc,Alexander Wurz
794,Alexander Albon,Nico Hülkenberg
795,Lando Norris,Mark Webber
796,Mick Schumacher,Giancarlo Fisichella
797,Fernando Alonso,Heikki Kovalainen
798,Guanyu Zhou,Robert Kubica
799,Kevin Magnussen,Anthony Davidson
800,Lando Norris,Esteban Ocon
801,Kevin Magnussen,Carlos Sainz
802,Kevin Magnussen,Juan Pablo Montoya
803,Daniel Ricciardo,Nico Rosberg
804,George Russell,Ralf Schumacher
805,Fernando Alonso,Jean Alesi
806,Max Verstappen,Felipe Massa
807,Guanyu Zhou,Romain Grosjean
808,Lance Stroll,David Coulthard
809,Lewis Hamilton,Kamui Kobayashi
810,Mick Schumacher,Esteban Gutiérrez
811,Lando Norris,Esteban Gutiérrez
